Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0762 (CAS 200762-2),O=CC=CC1=CC=CC=C1,36.5,1339.9,-6.92,96.4,Non-Sensitizer
Benchmark_Compound_0763 (CAS 200763-3),O=CC=CC1=CC=CC=C1,31.1,670.6,-5.79,53.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0764 (CAS 200764-4),O=CC=CC1=CC=CC=C1,73.2,914.6,-6.85,32.3,Non-Sensitizer
Benchmark_Compound_0765 (CAS 200765-5),O=CC=CC1=CC=CC=C1,12.9,950.6,-5.22,49.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0766 (CAS 200766-6),O=CC=CC1=CC=CC=C1,58.4,891.6,-6.11,85.6,Non-Sensitizer
Benchmark_Compound_0767 (CAS 200767-7),O=CC=CC1=CC=CC=C1,74.8,1056.9,-7.6,33.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0768 (CAS 200768-8),O=CC=CC1=CC=CC=C1,84.5,363.8,-7.86,23.1,Non-Sensitizer
Benchmark_Compound_0769 (CAS 200769-9),O=CC=CC1=CC=CC=C1,39.1,773.4,-5.49,17.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0770 (CAS 200770-0),O=CC=CC1=CC=CC=C1,79.8,165.3,-3.54,33.0,Non-Sensitizer
Benchmark_Compound_0771 (CAS 200771-1),O=CC=CC1=CC=CC=C1,19.4,582.9,-6.61,78.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0772 (CAS 200772-2),O=CC=CC1=CC=CC=C1,81.9,736.6,-4.47,49.3,Non-Sensitizer
Benchmark_Compound_0773 (CAS 200773-3),O=CC=CC1=CC=CC=C1,20.8,981.8,-4.88,26.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0774 (CAS 200774-4),O=CC=CC1=CC=CC=C1,43.8,1426.3,-3.38,20.6,Non-Sensitizer
Benchmark_Compound_0775 (CAS 200775-5),O=CC=CC1=CC=CC=C1,77.8,905.0,-3.98,36.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0776 (CAS 200776-6),O=CC=CC1=CC=CC=C1,22.7,1118.0,-5.38,93.4,Non-Sensitizer
Benchmark_Compound_0777 (CAS 200777-7),O=CC=CC1=CC=CC=C1,29.5,764.3,-4.89,37.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0778 (CAS 200778-8),O=CC=CC1=CC=CC=C1,71.4,954.8,-3.56,97.9,Non-Sensitizer
Benchmark_Compound_0779 (CAS 200779-9),O=CC=CC1=CC=CC=C1,71.2,115.7,-6.3,50.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0780 (CAS 200780-0),O=CC=CC1=CC=CC=C1,64.5,389.0,-6.7,21.8,Non-Sensitizer
Benchmark_Compound_0781 (CAS 200781-1),O=CC=CC1=CC=CC=C1,69.0,549.2,-8.44,88.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0782 (CAS 200782-2),O=CC=CC1=CC=CC=C1,56.1,714.0,-3.95,48.3,Non-Sensitizer
Benchmark_Compound_0783 (CAS 200783-3),O=CC=CC1=CC=CC=C1,31.4,78.0,-4.09,71.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0784 (CAS 200784-4),O=CC=CC1=CC=CC=C1,39.4,218.6,-7.93,97.5,Non-Sensitizer
Benchmark_Compound_0785 (CAS 200785-5),O=CC=CC1=CC=CC=C1,25.4,422.5,-5.33,9.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0786 (CAS 200786-6),O=CC=CC1=CC=CC=C1,87.2,1457.6,-5.95,14.1,Non-Sensitizer
Benchmark_Compound_0787 (CAS 200787-7),O=CC=CC1=CC=CC=C1,59.6,503.7,-7.85,72.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0788 (CAS 200788-8),O=CC=CC1=CC=CC=C1,44.1,728.2,-3.11,31.5,Non-Sensitizer
Benchmark_Compound_0789 (CAS 200789-9),O=CC=CC1=CC=CC=C1,49.3,302.2,-7.32,22.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0790 (CAS 200790-0),O=CC=CC1=CC=CC=C1,90.5,920.1,-8.13,8.7,Non-Sensitizer
Benchmark_Compound_0791 (CAS 200791-1),O=CC=CC1=CC=CC=C1,23.0,428.2,-5.23,7.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0792 (CAS 200792-2),O=CC=CC1=CC=CC=C1,59.8,318.4,-4.44,77.8,Non-Sensitizer
Benchmark_Compound_0793 (CAS 200793-3),O=CC=CC1=CC=CC=C1,53.0,779.7,-8.32,17.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0794 (CAS 200794-4),O=CC=CC1=CC=CC=C1,62.0,18.2,-4.88,49.0,Non-Sensitizer
Benchmark_Compound_0795 (CAS 200795-5),O=CC=CC1=CC=CC=C1,11.5,21.4,-5.57,62.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0796 (CAS 200796-6),O=CC=CC1=CC=CC=C1,84.1,336.4,-7.93,45.3,Non-Sensitizer
Benchmark_Compound_0797 (CAS 200797-7),O=CC=CC1=CC=CC=C1,89.2,64.7,-7.55,7.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0798 (CAS 200798-8),O=CC=CC1=CC=CC=C1,58.0,171.0,-5.38,78.6,Non-Sensitizer
Benchmark_Compound_0799 (CAS 200799-9),O=CC=CC1=CC=CC=C1,69.2,514.9,-6.87,6.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0800 (CAS 200800-0),O=CC=CC1=CC=CC=C1,88.4,1205.9,-3.34,76.6,Non-Sensitizer
Benchmark_Compound_0801 (CAS 200801-1),O=CC=CC1=CC=CC=C1,70.1,862.4,-4.0,89.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0802 (CAS 200802-2),O=CC=CC1=CC=CC=C1,23.0,773.9,-3.09,45.7,Non-Sensitizer
Benchmark_Compound_0803 (CAS 200803-3),O=CC=CC1=CC=CC=C1,59.0,447.3,-7.07,55.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0804 (CAS 200804-4),O=CC=CC1=CC=CC=C1,61.6,1398.3,-3.17,49.8,Non-Sensitizer
Benchmark_Compound_0805 (CAS 200805-5),O=CC=CC1=CC=CC=C1,46.1,601.6,-6.13,41.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0806 (CAS 200806-6),O=CC=CC1=CC=CC=C1,72.6,139.8,-6.59,88.4,Non-Sensitizer
Benchmark_Compound_0807 (CAS 200807-7),O=CC=CC1=CC=CC=C1,89.4,929.4,-8.22,89.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0808 (CAS 200808-8),O=CC=CC1=CC=CC=C1,88.7,179.6,-8.21,36.6,Non-Sensitizer
Benchmark_Compound_0809 (CAS 200809-9),O=CC=CC1=CC=CC=C1,48.3,524.4,-4.69,62.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0810 (CAS 200810-0),O=CC=CC1=CC=CC=C1,19.6,766.0,-5.98,92.1,Non-Sensitizer
Benchmark_Compound_0811 (CAS 200811-1),O=CC=CC1=CC=CC=C1,93.7,1312.6,-7.25,95.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0812 (CAS 200812-2),O=CC=CC1=CC=CC=C1,81.3,745.4,-5.12,52.8,Non-Sensitizer
Benchmark_Compound_0813 (CAS 200813-3),O=CC=CC1=CC=CC=C1,20.6,1056.4,-7.11,47.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0814 (CAS 200814-4),O=CC=CC1=CC=CC=C1,88.3,1489.3,-5.32,31.2,Non-Sensitizer
Benchmark_Compound_0815 (CAS 200815-5),O=CC=CC1=CC=CC=C1,83.9,205.9,-6.52,95.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0816 (CAS 200816-6),O=CC=CC1=CC=CC=C1,54.1,419.3,-3.97,18.4,Non-Sensitizer
Benchmark_Compound_0817 (CAS 200817-7),O=CC=CC1=CC=CC=C1,60.3,597.9,-3.99,59.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0818 (CAS 200818-8),O=CC=CC1=CC=CC=C1,43.9,638.5,-5.87,31.6,Non-Sensitizer
Benchmark_Compound_0819 (CAS 200819-9),O=CC=CC1=CC=CC=C1,14.7,622.4,-6.57,31.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0820 (CAS 200820-0),O=CC=CC1=CC=CC=C1,38.5,1362.3,-6.51,43.1,Non-Sensitizer
Benchmark_Compound_0821 (CAS 200821-1),O=CC=CC1=CC=CC=C1,78.2,1073.9,-4.07,98.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0822 (CAS 200822-2),O=CC=CC1=CC=CC=C1,10.4,915.8,-6.7,10.2,Non-Sensitizer
Benchmark_Compound_0823 (CAS 200823-3),O=CC=CC1=CC=CC=C1,38.3,471.0,-7.35,59.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0824 (CAS 200824-4),O=CC=CC1=CC=CC=C1,43.8,1237.4,-8.03,12.8,Non-Sensitizer
Benchmark_Compound_0825 (CAS 200825-5),O=CC=CC1=CC=CC=C1,55.7,1433.0,-5.93,19.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0826 (CAS 200826-6),O=CC=CC1=CC=CC=C1,88.2,1233.6,-5.85,46.3,Non-Sensitizer
Benchmark_Compound_0827 (CAS 200827-7),O=CC=CC1=CC=CC=C1,39.4,12.3,-3.88,53.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0828 (CAS 200828-8),O=CC=CC1=CC=CC=C1,39.5,958.2,-7.28,29.3,Non-Sensitizer
Benchmark_Compound_0829 (CAS 200829-9),O=CC=CC1=CC=CC=C1,72.7,86.2,-6.4,34.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0830 (CAS 200830-0),O=CC=CC1=CC=CC=C1,48.4,393.8,-4.05,13.2,Non-Sensitizer
Benchmark_Compound_0831 (CAS 200831-1),O=CC=CC1=CC=CC=C1,29.1,98.7,-3.97,33.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0832 (CAS 200832-2),O=CC=CC1=CC=CC=C1,48.5,909.7,-6.38,95.9,Non-Sensitizer
Benchmark_Compound_0833 (CAS 200833-3),O=CC=CC1=CC=CC=C1,22.0,1033.0,-5.97,93.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0834 (CAS 200834-4),O=CC=CC1=CC=CC=C1,25.0,180.6,-6.83,36.5,Non-Sensitizer
Benchmark_Compound_0835 (CAS 200835-5),O=CC=CC1=CC=CC=C1,52.4,581.9,-3.37,58.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0836 (CAS 200836-6),O=CC=CC1=CC=CC=C1,45.6,689.8,-7.85,90.5,Non-Sensitizer
Benchmark_Compound_0837 (CAS 200837-7),O=CC=CC1=CC=CC=C1,87.8,559.9,-3.36,5.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0838 (CAS 200838-8),O=CC=CC1=CC=CC=C1,40.8,190.3,-4.74,81.2,Non-Sensitizer
Benchmark_Compound_0839 (CAS 200839-9),O=CC=CC1=CC=CC=C1,59.4,634.2,-5.58,94.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0840 (CAS 200840-0),O=CC=CC1=CC=CC=C1,63.7,1129.3,-8.32,13.6,Non-Sensitizer
Benchmark_Compound_0841 (CAS 200841-1),O=CC=CC1=CC=CC=C1,11.1,115.8,-5.88,20.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0842 (CAS 200842-2),O=CC=CC1=CC=CC=C1,66.4,129.5,-6.26,95.3,Non-Sensitizer
Benchmark_Compound_0843 (CAS 200843-3),O=CC=CC1=CC=CC=C1,25.1,538.6,-7.61,55.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0844 (CAS 200844-4),O=CC=CC1=CC=CC=C1,91.7,1413.2,-4.89,6.3,Non-Sensitizer
Benchmark_Compound_0845 (CAS 200845-5),O=CC=CC1=CC=CC=C1,22.6,1006.2,-3.16,29.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0846 (CAS 200846-6),O=CC=CC1=CC=CC=C1,45.2,1021.2,-5.41,47.3,Non-Sensitizer
Benchmark_Compound_0847 (CAS 200847-7),O=CC=CC1=CC=CC=C1,17.3,549.3,-4.57,70.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0848 (CAS 200848-8),O=CC=CC1=CC=CC=C1,94.7,894.6,-8.12,73.9,Non-Sensitizer
Benchmark_Compound_0849 (CAS 200849-9),O=CC=CC1=CC=CC=C1,52.7,25.1,-6.2,98.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0850 (CAS 200850-0),O=CC=CC1=CC=CC=C1,60.6,957.8,-7.86,32.0,Non-Sensitizer
Benchmark_Compound_0851 (CAS 200851-1),O=CC=CC1=CC=CC=C1,15.7,1370.8,-5.13,55.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0852 (CAS 200852-2),O=CC=CC1=CC=CC=C1,73.7,922.7,-3.34,55.1,Non-Sensitizer
Benchmark_Compound_0853 (CAS 200853-3),O=CC=CC1=CC=CC=C1,27.8,1311.8,-4.86,43.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0854 (CAS 200854-4),O=CC=CC1=CC=CC=C1,86.3,1088.7,-8.08,20.9,Non-Sensitizer
Benchmark_Compound_0855 (CAS 200855-5),O=CC=CC1=CC=CC=C1,27.4,189.6,-6.55,96.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0856 (CAS 200856-6),O=CC=CC1=CC=CC=C1,26.2,1354.7,-5.47,85.2,Non-Sensitizer
Benchmark_Compound_0857 (CAS 200857-7),O=CC=CC1=CC=CC=C1,13.1,109.0,-6.28,51.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0858 (CAS 200858-8),O=CC=CC1=CC=CC=C1,50.1,805.6,-3.91,61.7,Non-Sensitizer
Benchmark_Compound_0859 (CAS 200859-9),O=CC=CC1=CC=CC=C1,58.0,221.8,-4.02,26.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0860 (CAS 200860-0),O=CC=CC1=CC=CC=C1,15.6,27.4,-5.13,56.1,Non-Sensitizer
Benchmark_Compound_0861 (CAS 200861-1),O=CC=CC1=CC=CC=C1,75.9,638.8,-6.45,70.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0862 (CAS 200862-2),O=CC=CC1=CC=CC=C1,48.5,449.6,-7.1,53.4,Non-Sensitizer
Benchmark_Compound_0863 (CAS 200863-3),O=CC=CC1=CC=CC=C1,54.6,734.1,-7.92,98.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0864 (CAS 200864-4),O=CC=CC1=CC=CC=C1,47.5,870.0,-6.55,62.5,Non-Sensitizer
Benchmark_Compound_0865 (CAS 200865-5),O=CC=CC1=CC=CC=C1,44.1,75.2,-6.23,39.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0866 (CAS 200866-6),O=CC=CC1=CC=CC=C1,57.6,193.3,-4.78,77.6,Non-Sensitizer
Benchmark_Compound_0867 (CAS 200867-7),O=CC=CC1=CC=CC=C1,23.2,842.4,-4.88,21.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0868 (CAS 200868-8),O=CC=CC1=CC=CC=C1,25.5,521.3,-8.11,41.1,Non-Sensitizer
Benchmark_Compound_0869 (CAS 200869-9),O=CC=CC1=CC=CC=C1,83.3,1096.5,-6.33,37.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0870 (CAS 200870-0),O=CC=CC1=CC=CC=C1,90.4,981.9,-7.5,45.6,Non-Sensitizer
Benchmark_Compound_0871 (CAS 200871-1),O=CC=CC1=CC=CC=C1,41.7,1270.0,-7.64,78.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0872 (CAS 200872-2),O=CC=CC1=CC=CC=C1,33.0,1041.8,-3.95,50.5,Non-Sensitizer
Benchmark_Compound_0873 (CAS 200873-3),O=CC=CC1=CC=CC=C1,64.7,650.6,-8.27,79.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0874 (CAS 200874-4),O=CC=CC1=CC=CC=C1,44.7,1012.7,-6.19,59.2,Non-Sensitizer
Benchmark_Compound_0875 (CAS 200875-5),O=CC=CC1=CC=CC=C1,12.2,420.3,-7.57,37.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0876 (CAS 200876-6),O=CC=CC1=CC=CC=C1,23.3,466.4,-3.66,81.1,Non-Sensitizer
Benchmark_Compound_0877 (CAS 200877-7),O=CC=CC1=CC=CC=C1,70.9,1185.6,-5.44,27.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0878 (CAS 200878-8),O=CC=CC1=CC=CC=C1,66.0,675.2,-7.23,26.1,Non-Sensitizer
Benchmark_Compound_0879 (CAS 200879-9),O=CC=CC1=CC=CC=C1,12.3,1199.6,-5.74,52.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0880 (CAS 200880-0),O=CC=CC1=CC=CC=C1,28.9,1235.4,-4.48,29.5,Non-Sensitizer
Benchmark_Compound_0881 (CAS 200881-1),O=CC=CC1=CC=CC=C1,29.6,1287.8,-3.23,5.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0882 (CAS 200882-2),O=CC=CC1=CC=CC=C1,67.1,1375.8,-7.29,65.9,Non-Sensitizer
Benchmark_Compound_0883 (CAS 200883-3),O=CC=CC1=CC=CC=C1,11.7,652.2,-3.63,53.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0884 (CAS 200884-4),O=CC=CC1=CC=CC=C1,18.8,485.1,-3.36,46.9,Non-Sensitizer
Benchmark_Compound_0885 (CAS 200885-5),O=CC=CC1=CC=CC=C1,78.0,877.5,-3.46,95.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0886 (CAS 200886-6),O=CC=CC1=CC=CC=C1,25.2,563.0,-5.01,58.7,Non-Sensitizer
Benchmark_Compound_0887 (CAS 200887-7),O=CC=CC1=CC=CC=C1,65.5,905.6,-5.04,86.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0888 (CAS 200888-8),O=CC=CC1=CC=CC=C1,30.2,1061.3,-6.28,18.1,Non-Sensitizer
Benchmark_Compound_0889 (CAS 200889-9),O=CC=CC1=CC=CC=C1,18.5,1035.7,-4.36,58.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0890 (CAS 200890-0),O=CC=CC1=CC=CC=C1,30.7,568.1,-5.58,86.6,Non-Sensitizer
Benchmark_Compound_0891 (CAS 200891-1),O=CC=CC1=CC=CC=C1,71.4,258.6,-4.77,59.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0892 (CAS 200892-2),O=CC=CC1=CC=CC=C1,82.7,651.5,-6.14,72.5,Non-Sensitizer
Benchmark_Compound_0893 (CAS 200893-3),O=CC=CC1=CC=CC=C1,80.6,222.5,-4.48,40.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0894 (CAS 200894-4),O=CC=CC1=CC=CC=C1,43.8,1336.2,-3.97,13.7,Non-Sensitizer
Benchmark_Compound_0895 (CAS 200895-5),O=CC=CC1=CC=CC=C1,66.8,525.4,-7.69,48.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0896 (CAS 200896-6),O=CC=CC1=CC=CC=C1,27.4,240.1,-3.92,42.1,Non-Sensitizer
Benchmark_Compound_0897 (CAS 200897-7),O=CC=CC1=CC=CC=C1,34.9,47.9,-5.53,86.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0898 (CAS 200898-8),O=CC=CC1=CC=CC=C1,86.2,972.3,-3.85,27.9,Non-Sensitizer
Benchmark_Compound_0899 (CAS 200899-9),O=CC=CC1=CC=CC=C1,11.1,959.0,-6.13,95.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0900 (CAS 200900-0),O=CC=CC1=CC=CC=C1,17.3,517.5,-6.42,95.1,Non-Sensitizer
Benchmark_Compound_0901 (CAS 200901-1),O=CC=CC1=CC=CC=C1,27.7,116.9,-3.47,28.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0902 (CAS 200902-2),O=CC=CC1=CC=CC=C1,12.3,620.3,-7.12,37.7,Non-Sensitizer
Benchmark_Compound_0903 (CAS 200903-3),O=CC=CC1=CC=CC=C1,25.4,473.7,-3.86,89.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0904 (CAS 200904-4),O=CC=CC1=CC=CC=C1,59.6,1018.9,-5.84,95.9,Non-Sensitizer
Benchmark_Compound_0905 (CAS 200905-5),O=CC=CC1=CC=CC=C1,45.8,912.6,-5.67,46.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0906 (CAS 200906-6),O=CC=CC1=CC=CC=C1,85.9,553.2,-6.8,35.2,Non-Sensitizer
Benchmark_Compound_0907 (CAS 200907-7),O=CC=CC1=CC=CC=C1,79.5,334.7,-5.35,54.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0908 (CAS 200908-8),O=CC=CC1=CC=CC=C1,39.1,1482.2,-6.71,69.7,Non-Sensitizer
Benchmark_Compound_0909 (CAS 200909-9),O=CC=CC1=CC=CC=C1,32.1,686.5,-8.28,30.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0910 (CAS 200910-0),O=CC=CC1=CC=CC=C1,42.3,1035.5,-7.0,74.2,Non-Sensitizer
Benchmark_Compound_0911 (CAS 200911-1),O=CC=CC1=CC=CC=C1,60.2,219.4,-8.46,9.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0912 (CAS 200912-2),O=CC=CC1=CC=CC=C1,32.8,733.5,-3.12,9.6,Non-Sensitizer
Benchmark_Compound_0913 (CAS 200913-3),O=CC=CC1=CC=CC=C1,63.1,51.0,-3.19,41.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0914 (CAS 200914-4),O=CC=CC1=CC=CC=C1,44.8,763.1,-6.33,38.2,Non-Sensitizer
Benchmark_Compound_0915 (CAS 200915-5),O=CC=CC1=CC=CC=C1,56.9,1446.4,-4.49,34.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0916 (CAS 200916-6),O=CC=CC1=CC=CC=C1,47.1,582.5,-6.6,51.2,Non-Sensitizer
Benchmark_Compound_0917 (CAS 200917-7),O=CC=CC1=CC=CC=C1,35.0,68.1,-4.81,35.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0918 (CAS 200918-8),O=CC=CC1=CC=CC=C1,90.6,56.1,-4.07,23.1,Non-Sensitizer
Benchmark_Compound_0919 (CAS 200919-9),O=CC=CC1=CC=CC=C1,74.9,588.1,-3.29,34.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0920 (CAS 200920-0),O=CC=CC1=CC=CC=C1,21.9,248.4,-6.3,96.6,Non-Sensitizer
Benchmark_Compound_0921 (CAS 200921-1),O=CC=CC1=CC=CC=C1,83.8,44.8,-4.19,43.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0922 (CAS 200922-2),O=CC=CC1=CC=CC=C1,51.4,1136.8,-7.04,46.8,Non-Sensitizer
Benchmark_Compound_0923 (CAS 200923-3),O=CC=CC1=CC=CC=C1,86.0,693.2,-3.05,59.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0924 (CAS 200924-4),O=CC=CC1=CC=CC=C1,78.0,441.0,-8.36,97.4,Non-Sensitizer
Benchmark_Compound_0925 (CAS 200925-5),O=CC=CC1=CC=CC=C1,46.1,1351.1,-5.18,27.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0926 (CAS 200926-6),O=CC=CC1=CC=CC=C1,11.9,183.0,-4.87,69.0,Non-Sensitizer
Benchmark_Compound_0927 (CAS 200927-7),O=CC=CC1=CC=CC=C1,32.8,1434.3,-4.72,72.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0928 (CAS 200928-8),O=CC=CC1=CC=CC=C1,56.0,477.8,-7.84,62.1,Non-Sensitizer
Benchmark_Compound_0929 (CAS 200929-9),O=CC=CC1=CC=CC=C1,63.8,1333.7,-3.34,13.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0930 (CAS 200930-0),O=CC=CC1=CC=CC=C1,31.9,908.4,-7.5,68.6,Non-Sensitizer
Benchmark_Compound_0931 (CAS 200931-1),O=CC=CC1=CC=CC=C1,21.8,1241.8,-5.07,11.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0932 (CAS 200932-2),O=CC=CC1=CC=CC=C1,81.0,1476.2,-7.28,61.0,Non-Sensitizer
Benchmark_Compound_0933 (CAS 200933-3),O=CC=CC1=CC=CC=C1,93.7,439.7,-6.81,74.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0934 (CAS 200934-4),O=CC=CC1=CC=CC=C1,54.7,1442.1,-5.49,24.8,Non-Sensitizer
Benchmark_Compound_0935 (CAS 200935-5),O=CC=CC1=CC=CC=C1,24.6,590.3,-6.21,84.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0936 (CAS 200936-6),O=CC=CC1=CC=CC=C1,33.1,584.4,-7.62,7.9,Non-Sensitizer
Benchmark_Compound_0937 (CAS 200937-7),O=CC=CC1=CC=CC=C1,11.6,517.2,-7.56,84.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0938 (CAS 200938-8),O=CC=CC1=CC=CC=C1,87.7,816.7,-6.2,48.3,Non-Sensitizer
Benchmark_Compound_0939 (CAS 200939-9),O=CC=CC1=CC=CC=C1,20.0,239.7,-4.33,25.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0940 (CAS 200940-0),O=CC=CC1=CC=CC=C1,59.0,835.0,-3.56,17.6,Non-Sensitizer
Benchmark_Compound_0941 (CAS 200941-1),O=CC=CC1=CC=CC=C1,33.3,817.1,-8.04,94.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0942 (CAS 200942-2),O=CC=CC1=CC=CC=C1,57.1,1145.2,-6.34,11.8,Non-Sensitizer
Benchmark_Compound_0943 (CAS 200943-3),O=CC=CC1=CC=CC=C1,65.4,1252.1,-7.95,23.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0944 (CAS 200944-4),O=CC=CC1=CC=CC=C1,80.5,666.3,-8.41,37.7,Non-Sensitizer
Benchmark_Compound_0945 (CAS 200945-5),O=CC=CC1=CC=CC=C1,27.5,460.5,-4.86,63.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0946 (CAS 200946-6),O=CC=CC1=CC=CC=C1,10.9,396.4,-5.19,56.2,Non-Sensitizer
Benchmark_Compound_0947 (CAS 200947-7),O=CC=CC1=CC=CC=C1,21.6,300.0,-7.6,16.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0948 (CAS 200948-8),O=CC=CC1=CC=CC=C1,86.5,95.9,-7.21,32.2,Non-Sensitizer
Benchmark_Compound_0949 (CAS 200949-9),O=CC=CC1=CC=CC=C1,84.3,520.2,-8.37,27.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0950 (CAS 200950-0),O=CC=CC1=CC=CC=C1,60.8,412.7,-3.91,25.1,Non-Sensitizer
Benchmark_Compound_0951 (CAS 200951-1),O=CC=CC1=CC=CC=C1,61.0,1450.0,-3.14,43.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0952 (CAS 200952-2),O=CC=CC1=CC=CC=C1,66.5,841.0,-7.75,71.2,Non-Sensitizer
